domain,rows,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,precision_ai,recall_ai,f1_ai,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,auroc,average_precision,support_human,support_ai,threshold
健康,1584,0.9797979797979798,0.9365881196813515,0.9859451862262825,0.9915194346289753,0.9887244538407329,0.9254658385093167,0.8816568047337278,0.9030303030303031,0.9557055123677995,0.9365881196813515,0.945877378435518,0.9795815804272463,0.1359117683285444,0.9956008112572396,0.9762559794160053,1415,169,0.5
美食,1342,0.9716840536512668,0.9341033772092995,0.9866108786610879,0.9816819317235637,0.9841402337228714,0.8503401360544217,0.8865248226950354,0.8680555555555556,0.9184755073577549,0.9341033772092995,0.9260978946392135,0.9719435574027585,0.17915019877708438,0.9826208655907311,0.9382780845174133,1201,141,0.5
情感,1189,0.975609756097561,0.9400834517045454,0.9825412221144519,0.9892578125,0.9858880778588808,0.930379746835443,0.8909090909090909,0.9102167182662538,0.9564604844749475,0.9400834517045454,0.9480523980625672,0.9753870060903497,0.16686077714828362,0.9871212121212121,0.9677930025135193,1024,165,0.5
旅行,1045,0.9789473684210527,0.9465652173913044,0.9869848156182213,0.9891304347826086,0.988056460369164,0.9186991869918699,0.904,0.9112903225806451,0.9528420013050456,0.9465652173913044,0.9496733914749045,0.9788739080021162,0.16570156779245496,0.9935217391304347,0.9681717287831691,920,125,0.5
职场,940,0.9797872340425532,0.9514352014352014,0.9865361077111383,0.9901719901719902,0.9883507050889025,0.9349593495934959,0.9126984126984127,0.9236947791164659,0.9607477286523172,0.9514352014352014,0.9560227421026842,0.9796840596925972,0.1605433638279408,0.9938087438087437,0.9724294932110246,814,126,0.5
穿搭,932,0.9742489270386266,0.9706295963298522,0.9919893190921228,0.9763469119579501,0.9841059602649007,0.9016393442622951,0.9649122807017544,0.9322033898305084,0.946814331677209,0.9706295963298522,0.9581546750477046,0.9745830637581614,0.1937360768554518,0.988119664030861,0.9797918545509952,761,171,0.5
心理,735,0.9741496598639455,0.9381515382659547,0.9792993630573248,0.9903381642512077,0.9847878302642114,0.9439252336448598,0.8859649122807017,0.9140271493212669,0.9616122983510923,0.9381515382659547,0.9494074897927391,0.9738127042404078,0.14869460698786152,0.9948865723083877,0.9794732247429152,621,114,0.5
学习,598,0.9765886287625418,0.8445531830763147,0.980701754385965,0.994661921708185,0.9876325088339223,0.8928571428571429,0.6944444444444444,0.78125,0.9367794486215539,0.8445531830763147,0.8844412544169611,0.9752081437536193,0.15592292423499632,0.9767200474495847,0.8740233646760128,562,36,0.5
宠物,278,0.9820143884892086,0.9180237154150197,0.984375,0.9960474308300395,0.9901768172888016,0.9545454545454546,0.84,0.8936170212765957,0.9694602272727273,0.9180237154150197,0.9418969192826987,0.9814933823956177,0.1661519855002461,0.986403162055336,0.9446649099692579,253,25,0.5
运动,190,0.9842105263157894,0.9257305194805194,0.9887005649717514,0.9943181818181818,0.9915014164305949,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9558887440243373,0.9257305194805194,0.9401951526597419,0.9839404933485744,0.1602590466611219,0.984172077922078,0.9131694717242889,176,14,0.5
