model,rows,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,precision_ai,recall_ai,f1_ai,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,auroc,average_precision,support_human,support_ai,threshold
deepseek-r1-250528,103,0.8932038834951457,0.8932038834951457,0.0,0.0,0.0,1.0,0.8932038834951457,0.9435897435897436,0.5,0.44660194174757284,0.4717948717948718,0.9435897435897436,0.29823325526169575,,,0,103,0.5
gemini-1.5,79,0.9746835443037974,0.9746835443037974,0.0,0.0,0.0,1.0,0.9746835443037974,0.9871794871794872,0.5,0.4873417721518987,0.4935897435897436,0.9871794871794872,0.10031406830529503,,,0,79,0.5
deepseek-r1-250120,78,0.9102564102564102,0.9102564102564102,0.0,0.0,0.0,1.0,0.9102564102564102,0.9530201342281879,0.5,0.4551282051282051,0.47651006711409394,0.9530201342281879,0.2518036773679023,,,0,78,0.5
glm-3,71,0.5633802816901409,0.5633802816901409,0.0,0.0,0.0,1.0,0.5633802816901409,0.7207207207207207,0.5,0.28169014084507044,0.36036036036036034,0.7207207207207207,0.7509616579859757,,,0,71,0.5
gpt-o3,68,0.9117647058823529,0.9117647058823529,0.0,0.0,0.0,1.0,0.9117647058823529,0.9538461538461539,0.5,0.45588235294117646,0.47692307692307695,0.9538461538461538,0.2627564384795565,,,0,68,0.5
gpt-4.1,66,0.8939393939393939,0.8939393939393939,0.0,0.0,0.0,1.0,0.8939393939393939,0.944,0.5,0.44696969696969696,0.472,0.944,0.274550884161625,,,0,66,0.5
gemini-2.0,64,0.96875,0.96875,0.0,0.0,0.0,1.0,0.96875,0.9841269841269841,0.5,0.484375,0.49206349206349204,0.9841269841269841,0.16197001401114017,,,0,64,0.5
deepseek-v3,63,0.9206349206349206,0.9206349206349206,0.0,0.0,0.0,1.0,0.9206349206349206,0.9586776859504132,0.5,0.4603174603174603,0.4793388429752066,0.9586776859504132,0.18945431288173883,,,0,63,0.5
qwen2.5,63,0.873015873015873,0.873015873015873,0.0,0.0,0.0,1.0,0.873015873015873,0.9322033898305084,0.5,0.4365079365079365,0.4661016949152542,0.9322033898305084,0.280816189522161,,,0,63,0.5
qwen2,60,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.10572734908285296,,,0,60,0.5
gpt-o4,60,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,1.0,0.9166666666666666,0.9565217391304348,0.5,0.4583333333333333,0.4782608695652174,0.9565217391304348,0.31403916058748066,,,0,60,0.5
qwen3,60,0.9666666666666667,0.9666666666666667,0.0,0.0,0.0,1.0,0.9666666666666667,0.9830508474576272,0.5,0.48333333333333334,0.4915254237288136,0.9830508474576273,0.15047127088427606,,,0,60,0.5
claude-sonnet-4,57,0.8771929824561403,0.8771929824561403,0.0,0.0,0.0,1.0,0.8771929824561403,0.9345794392523364,0.5,0.43859649122807015,0.4672897196261682,0.9345794392523364,0.2913998148248476,,,0,57,0.5
gpt-4o,55,0.8909090909090909,0.8909090909090909,0.0,0.0,0.0,1.0,0.8909090909090909,0.9423076923076923,0.5,0.44545454545454544,0.47115384615384615,0.9423076923076923,0.2839293190328898,,,0,55,0.5
glm-4,53,0.9245283018867925,0.9245283018867925,0.0,0.0,0.0,1.0,0.9245283018867925,0.9607843137254902,0.5,0.46226415094339623,0.4803921568627451,0.9607843137254902,0.24654746903684943,,,0,53,0.5
claude-3-7-sonnet,48,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,0.8333333333333334,0.9090909090909091,0.5,0.4166666666666667,0.45454545454545453,0.9090909090909091,0.3719583257367485,,,0,48,0.5
gemini-2.5,38,0.9473684210526315,0.9473684210526315,0.0,0.0,0.0,1.0,0.9473684210526315,0.972972972972973,0.5,0.47368421052631576,0.4864864864864865,0.972972972972973,0.19629629358114684,,,0,38,0.5
