domain,rows,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,precision_ai,recall_ai,f1_ai,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,auroc,average_precision,support_human,support_ai,threshold
健康,1584,0.9936868686868687,0.9912559851130115,0.9985805535841022,0.9943462897526502,0.9964589235127479,0.9542857142857143,0.9881656804733728,0.9709302325581395,0.9764331339349083,0.9912559851130115,0.9836945780354437,0.9937352184803433,0.02176227031830016,0.9997574591757794,0.9981562029616315,1415,169,0.5
美食,1342,0.9836065573770492,0.9783218476328828,0.9966301600673968,0.9850124895920067,0.990787269681742,0.8838709677419355,0.9716312056737588,0.9256756756756757,0.9402505639046661,0.9783218476328828,0.9582314726787089,0.9839461856617305,0.06594827938004041,0.9955297299531713,0.9846426087710036,1201,141,0.5
情感,1189,0.9848612279226241,0.9734167850378788,0.9931372549019608,0.9892578125,0.9911937377690803,0.9349112426035503,0.9575757575757575,0.9461077844311377,0.9640242487527555,0.9734167850378788,0.968650761100109,0.9849370663638991,0.06037525254411534,0.9934244791666667,0.9864291263832379,1024,165,0.5
旅行,1045,0.9913875598086125,0.9916521739130435,0.9989047097480832,0.991304347826087,0.9950900163666121,0.9393939393939394,0.992,0.9649805447470817,0.9691493245710113,0.9916521739130435,0.9800352805568469,0.9914884049288692,0.04308481620378071,0.9997130434782608,0.99796754696506,920,125,0.5
职场,940,0.9882978723404255,0.9798272298272298,0.9950678175092479,0.9914004914004914,0.9932307692307693,0.9457364341085271,0.9682539682539683,0.9568627450980393,0.9704021258088875,0.9798272298272298,0.9750467571644043,0.9883559064214885,0.06293653159571053,0.9962462462462462,0.9856628636259794,814,126,0.5
穿搭,932,0.9828326180257511,0.9872205700409586,0.998661311914324,0.9802890932982917,0.9893899204244032,0.918918918918919,0.9941520467836257,0.9550561797752809,0.9587901154166214,0.9872205700409586,0.9722230500998421,0.9830904894683946,0.08003722632419132,0.9970337582897235,0.9948508926151294,761,171,0.5
心理,735,0.9877551020408163,0.9855919993219764,0.9967532467532467,0.9887278582930756,0.9927243330638642,0.9411764705882353,0.9824561403508771,0.9613733905579399,0.968964858670741,0.9855919993219764,0.9770488618109021,0.98786173789968,0.03763915622837025,0.9989970901488826,0.9953892119433307,621,114,0.5
学习,598,0.9816053511705686,0.9512158956109134,0.9946140035906643,0.9857651245551602,0.9901697944593387,0.8048780487804879,0.9166666666666666,0.8571428571428571,0.8997460261855761,0.9512158956109134,0.9236563258010979,0.9821614838516576,0.0680392777710289,0.9914986160537762,0.9522339046206838,562,36,0.5
宠物,278,0.9928057553956835,0.9780237154150198,0.9960474308300395,0.9960474308300395,0.9960474308300395,0.96,0.96,0.96,0.9780237154150198,0.9780237154150198,0.9780237154150198,0.9928057553956835,0.03014889189635727,0.9992094861660079,0.9933333333333336,253,25,0.5
运动,190,0.9842105263157894,0.9914772727272727,1.0,0.9829545454545454,0.9914040114613181,0.8235294117647058,1.0,0.9032258064516129,0.9117647058823529,0.9914772727272727,0.9473149089564654,0.9849066700395505,0.026165850011899267,1.0,0.9999999999999998,176,14,0.5
