model,rows,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,precision_ai,recall_ai,f1_ai,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,auroc,average_precision,support_human,support_ai,threshold
deepseek-r1-250528,103,0.9805825242718447,0.9805825242718447,0.0,0.0,0.0,1.0,0.9805825242718447,0.9901960784313726,0.5,0.49029126213592233,0.4950980392156863,0.9901960784313726,0.0810558792682927,,,0,103,0.5
gemini-1.5,79,0.9873417721518988,0.9873417721518988,0.0,0.0,0.0,1.0,0.9873417721518988,0.9936305732484076,0.5,0.4936708860759494,0.4968152866242038,0.9936305732484075,0.0483272807680909,,,0,79,0.5
deepseek-r1-250120,78,0.9871794871794872,0.9871794871794872,0.0,0.0,0.0,1.0,0.9871794871794872,0.9935483870967742,0.5,0.4935897435897436,0.4967741935483871,0.9935483870967742,0.04793142782325894,,,0,78,0.5
glm-3,71,0.8028169014084507,0.8028169014084507,0.0,0.0,0.0,1.0,0.8028169014084507,0.890625,0.5,0.4014084507042254,0.4453125,0.890625,1.2286969283507514,,,0,71,0.5
gpt-o3,68,0.9852941176470589,0.9852941176470589,0.0,0.0,0.0,1.0,0.9852941176470589,0.9925925925925926,0.5,0.49264705882352944,0.4962962962962963,0.9925925925925926,0.04213934152984511,,,0,68,0.5
gpt-4.1,66,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0009160615134994785,,,0,66,0.5
gemini-2.0,64,0.96875,0.96875,0.0,0.0,0.0,1.0,0.96875,0.9841269841269841,0.5,0.484375,0.49206349206349204,0.9841269841269841,0.09999606249630164,,,0,64,0.5
deepseek-v3,63,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0003275979726620921,,,0,63,0.5
qwen2.5,63,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.00031026704285963953,,,0,63,0.5
qwen2,60,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0001942626509032815,,,0,60,0.5
gpt-o4,60,0.95,0.95,0.0,0.0,0.0,1.0,0.95,0.9743589743589743,0.5,0.475,0.48717948717948717,0.9743589743589743,0.21398215526969896,,,0,60,0.5
qwen3,60,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.005379211658929844,,,0,60,0.5
claude-sonnet-4,57,0.9473684210526315,0.9473684210526315,0.0,0.0,0.0,1.0,0.9473684210526315,0.972972972972973,0.5,0.47368421052631576,0.4864864864864865,0.972972972972973,0.2779870055977371,,,0,57,0.5
gpt-4o,55,0.9818181818181818,0.9818181818181818,0.0,0.0,0.0,1.0,0.9818181818181818,0.9908256880733946,0.5,0.4909090909090909,0.4954128440366973,0.9908256880733946,0.11874181034843953,,,0,55,0.5
glm-4,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.00022886212362328466,,,0,53,0.5
claude-3-7-sonnet,48,0.9583333333333334,0.9583333333333334,0.0,0.0,0.0,1.0,0.9583333333333334,0.9787234042553191,0.5,0.4791666666666667,0.48936170212765956,0.9787234042553191,0.2451684310411566,,,0,48,0.5
gemini-2.5,38,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.000272640195311613,,,0,38,0.5
